#NUMBER OF AGES=15
#----------------------------------------------------       
#MIX-LEN  Y      Z          Zeff        [Fe/H] [a/Fe]       
# 1.9380  0.2537 5.3740E-03 5.3740E-03  -0.50   0.00        
#----------------------------------------------------       
#**PHOTOMETRIC SYSTEM**: SDSS (AB)                          
#----------------------------------------------------       
#AGE= 0.010 BINS=149 Power-law IMF: x=-2.350
# N  sdss_r       Log10(N)       Log10(dN)
 96  7.016         4.1229         2.4730
 97  7.116         4.1330         2.4969
 98  7.216         4.1423         2.4653
 99  7.316         4.1480         2.2630
100  7.416         4.1539         2.2854
101  7.516         4.1605         2.3396
102  7.616         4.1678         2.3882
103  7.716         4.1752         2.4047
104  7.816         4.1838         2.4749
105  7.916         4.1936         2.5423
106  8.016         4.2132         2.8591
107  8.116         4.2370         2.9624
108  8.216         4.2634         3.0353
109  8.316         4.2886         3.0386
110  8.416         4.3136         3.0621
111  8.516         4.3411         3.1291
112  8.616         4.3682         3.1503
113  8.716         4.3948         3.1685
114  8.816         4.4207         3.1834
115  8.916         4.4458         3.1944
116  9.016         4.4698         3.2007
117  9.116         4.4926         3.2004
118  9.216         4.5136         3.1875
119  9.316         4.5328         3.1705
120  9.416         4.5506         3.1540
121  9.516         4.5673         3.1440
122  9.616         4.5836         3.1480
123  9.716         4.6004         3.1797
124  9.816         4.6179         3.2150
125  9.916         4.6333         3.1750
126 10.016         4.6502         3.2334
127 10.116         4.6672         3.2514
128 10.216         4.6843         3.2711
129 10.316         4.7016         3.2926
130 10.416         4.7191         3.3160
131 10.516         4.7369         3.3411
132 10.616         4.7551         3.3681
133 10.716         4.7738         3.3970
134 10.816         4.7927         3.4229
135 10.916         4.8118         3.4453
136 11.016         4.8311         3.4692
137 11.116         4.8507         3.4947
138 11.216         4.8706         3.5218
139 11.316         4.8909         3.5507
140 11.416         4.9117         3.5815
141 11.516         4.9331         3.6147
142 11.616         4.9552         3.6508
143 11.716         4.9776         3.6802
144 11.816         5.0000         3.7009


#AGE= 1.000 BINS=139 Power-law IMF: x=-2.350
# N  sdss_r       Log10(N)       Log10(dN)
  1 -0.967        -0.0604        -0.0604
  2 -0.867         0.2401        -0.0615
  3 -0.767         0.4137        -0.0684
  4 -0.667         0.5368        -0.0706
  5 -0.567         0.6329        -0.0697
  6 -0.467         0.7113        -0.0705
  7 -0.367         0.7778        -0.0702
  8 -0.267         0.8359        -0.0664
  9 -0.167         0.8872        -0.0656
 10 -0.067         0.9331        -0.0660
 11  0.033         0.9741        -0.0706
 12  0.133         1.0110        -0.0790
 13  0.233         1.0443        -0.0872
 14  0.333         1.0751        -0.0889
 15  0.433         1.1033        -0.0995
 16  0.533         1.1297        -0.0991
 17  0.633         1.3785         1.0180
 18  0.733         1.4279         0.4593
 19  0.833         1.4565         0.2615
 20  0.933         1.7349         1.4099
 21  1.033         1.9606         1.5683
 22  1.133         2.1200         1.6076
 23  1.233         2.2383         1.6156
 24  1.333         2.3371         1.6455
 25  1.433         2.4228         1.6757
 26  1.533         2.4995         1.7089
 27  1.633         2.5705         1.7487
 28  1.733         2.6356         1.7793
 29  1.833         2.6948         1.8004
 30  1.933         2.7518         1.8416
 31  2.033         2.8067         1.8813
 32  2.133         2.8571         1.8965
 33  2.233         2.9047         1.9215
 34  2.333         2.9502         1.9472
 35  2.433         2.9934         1.9698
 36  2.533         3.0331         1.9749
 37  2.633         3.0693         1.9727
 38  2.733         3.1037         1.9846
 39  2.833         3.1364         1.9969
 40  2.933         3.1676         2.0088
 41  3.033         3.1975         2.0203
 42  3.133         3.2262         2.0314
 43  3.233         3.2537         2.0420
 44  3.333         3.2802         2.0521
 45  3.433         3.3057         2.0618
 46  3.533         3.3302         2.0710
 47  3.633         3.3540         2.0797
 48  3.733         3.3769         2.0879
 49  3.833         3.3991         2.0962
 50  3.933         3.4206         2.1043
 51  4.033         3.4413         2.1108
 52  4.133         3.4615         2.1185
 53  4.233         3.4814         2.1323
 54  4.333         3.5009         2.1445
 55  4.433         3.5202         2.1577
 56  4.533         3.5392         2.1699
 57  4.633         3.5578         2.1810
 58  4.733         3.5762         2.1932
 59  4.833         3.5943         2.2055
 60  4.933         3.6122         2.2184
 61  5.033         3.6298         2.2301
 62  5.133         3.6473         2.2419
 63  5.233         3.6644         2.2527
 64  5.333         3.6813         2.2625
 65  5.433         3.6979         2.2712
 66  5.533         3.7141         2.2789
 67  5.633         3.7300         2.2856
 68  5.733         3.7456         2.2913
 69  5.833         3.7607         2.2959
 70  5.933         3.7755         2.2994
 71  6.033         3.7898         2.3017
 72  6.133         3.8038         2.3029
 73  6.233         3.8173         2.3033
 74  6.333         3.8305         2.3065
 75  6.433         3.8434         2.3101
 76  6.533         3.8560         2.3133
 77  6.633         3.8683         2.3159
 78  6.733         3.8804         2.3181
 79  6.833         3.8922         2.3192
 80  6.933         3.9037         2.3208
 81  7.033         3.9150         2.3259
 82  7.133         3.9262         2.3318
 83  7.233         3.9373         2.3376
 84  7.333         3.9484         2.3501
 85  7.433         3.9595         2.3622
 86  7.533         3.9706         2.3756
 87  7.633         3.9819         2.3893
 88  7.733         3.9932         2.4049
 89  7.833         4.0049         2.4280
 90  7.933         4.0168         2.4491
 91  8.033         4.0289         2.4659
 92  8.133         4.0410         2.4820
 93  8.233         4.0533         2.5004
 94  8.333         4.0660         2.5226
 95  8.433         4.0789         2.5455
 96  8.533         4.0919         2.5632
 97  8.633         4.1051         2.5792
 98  8.733         4.1184         2.5978
 99  8.833         4.1320         2.6236
100  8.933         4.1462         2.6531
101  9.033         4.1608         2.6798
102  9.133         4.1758         2.7066
103  9.233         4.1914         2.7394
104  9.333         4.2076         2.7712
105  9.433         4.2245         2.8049
106  9.533         4.2422         2.8442
107  9.633         4.2609         2.8847
108  9.733         4.2803         2.9211
109  9.833         4.3003         2.9532
110  9.933         4.3206         2.9819
111 10.033         4.3413         3.0092
112 10.133         4.3615         3.0180
113 10.233         4.3823         3.0533
114 10.333         4.4049         3.1092
115 10.433         4.4287         3.1547
116 10.533         4.4538         3.2037
117 10.633         4.4794         3.2377
118 10.733         4.5045         3.2538
119 10.833         4.5291         3.2702
120 10.933         4.5535         3.2910
121 11.033         4.5778         3.3122
122 11.133         4.6018         3.3337
123 11.233         4.6258         3.3556
124 11.333         4.6497         3.3779
125 11.433         4.6735         3.4006
126 11.533         4.6972         3.4236
127 11.633         4.7209         3.4457
128 11.733         4.7445         3.4677
129 11.833         4.7680         3.4900
130 11.933         4.7915         3.5126
131 12.033         4.8150         3.5356
132 12.133         4.8384         3.5589
133 12.233         4.8619         3.5835
134 12.333         4.8854         3.6072
135 12.433         4.9088         3.6284
136 12.533         4.9319         3.6470
137 12.633         4.9548         3.6640
138 12.733         4.9774         3.6831
139 12.833         5.0000         3.7052


#AGE= 2.000 BINS=158 Power-law IMF: x=-2.350
# N  sdss_r       Log10(N)       Log10(dN)
  1 -2.563        -0.4276        -0.4276
  2 -2.463        -0.1379        -0.4506
  3 -2.363         0.0338        -0.4521
  4 -2.263         0.1602        -0.4378
  5 -2.163         0.2619        -0.4181
  6 -2.063         0.3479        -0.3977
  7 -1.963         0.4235        -0.3729
  8 -1.863         0.4917        -0.3462
  9 -1.763         0.5542        -0.3186
 10 -1.663         0.6121        -0.2914
 11 -1.563         0.6664        -0.2633
 12 -1.463         0.7176        -0.2369
 13 -1.363         0.7661        -0.2100
 14 -1.263         0.8126        -0.1800
 15 -1.163         0.8575        -0.1504
 16 -1.063         0.9010        -0.1203
 17 -0.963         0.9432        -0.0905
 18 -0.863         0.9843        -0.0593
 19 -0.763         1.0243        -0.0319
 20 -0.663         1.0631        -0.0052
 21 -0.563         1.1008         0.0206
 22 -0.463         1.1375         0.0468
 23 -0.363         1.1736         0.0747
 24 -0.263         1.2072         0.0792
 25 -0.163         1.2379         0.0718
 26 -0.063         1.3611         0.7539
 27  0.037         1.4419         0.6715
 28  0.137         1.4750         0.3412
 29  0.237         1.5068         0.3553
 30  0.337         1.5360         0.3489
 31  0.437         1.5619         0.3243
 32  0.537         1.5854         0.3081
 33  0.637         1.6075         0.3024
 34  0.737         1.6285         0.3027
 35  0.837         1.6485         0.3012
 36  0.937         1.6674         0.2978
 37  1.037         1.6854         0.2947
 38  1.137         1.7026         0.2900
 39  1.237         1.7190         0.2876
 40  1.337         1.7346         0.2819
 41  1.437         1.7495         0.2793
 42  1.537         1.8184         0.9846
 43  1.637         1.9088         1.1829
 44  1.737         1.9412         0.7981
 45  1.837         1.9926         1.0401
 46  1.937         2.1281         1.5561
 47  2.037         2.2785         1.7449
 48  2.137         2.3915         1.7518
 49  2.237         2.4835         1.7642
 50  2.337         2.5649         1.7977
 51  2.437         2.6340         1.8016
 52  2.537         2.6957         1.8180
 53  2.637         2.7534         1.8479
 54  2.737         2.8064         1.8671
 55  2.837         2.8562         1.8905
 56  2.937         2.9030         1.9129
 57  3.037         2.9472         1.9329
 58  3.137         2.9863         1.9208
 59  3.237         3.0219         1.9177
 60  3.337         3.0568         1.9441
 61  3.437         3.0908         1.9687
 62  3.537         3.1241         1.9919
 63  3.637         3.1546         1.9852
 64  3.737         3.1830         1.9854
 65  3.837         3.2105         1.9983
 66  3.937         3.2368         2.0051
 67  4.037         3.2623         2.0190
 68  4.137         3.2872         2.0327
 69  4.237         3.3114         2.0465
 70  4.337         3.3352         2.0610
 71  4.437         3.3584         2.0742
 72  4.537         3.3810         2.0877
 73  4.637         3.4032         2.1000
 74  4.737         3.4249         2.1129
 75  4.837         3.4463         2.1280
 76  4.937         3.4672         2.1394
 77  5.037         3.4876         2.1480
 78  5.137         3.5076         2.1627
 79  5.237         3.5278         2.1847
 80  5.337         3.5474         2.1917
 81  5.437         3.5664         2.1986
 82  5.537         3.5850         2.2058
 83  5.637         3.6030         2.2123
 84  5.737         3.6205         2.2179
 85  5.837         3.6376         2.2226
 86  5.937         3.6541         2.2265
 87  6.037         3.6701         2.2296
 88  6.137         3.6857         2.2317
 89  6.237         3.7007         2.2336
 90  6.337         3.7154         2.2366
 91  6.437         3.7297         2.2397
 92  6.537         3.7436         2.2426
 93  6.637         3.7572         2.2454
