## Mr-color sequences for H (DA) white dwarfs. 
## Based on Bergeron et al. (1995) models, adjusted to fit SDSS data. 
## For details, see Palaversa et al. (2024). 
    Mr     ug       gr       ri       iz 
  12.00   0.396   -0.165   -0.170   -0.232  
  12.02   0.394   -0.161   -0.167   -0.230  
  12.04   0.392   -0.156   -0.164   -0.228  
  12.06   0.389   -0.152   -0.161   -0.226  
  12.08   0.387   -0.148   -0.158   -0.223  
  12.10   0.385   -0.143   -0.155   -0.221  
  12.12   0.382   -0.138   -0.151   -0.219  
  12.14   0.380   -0.134   -0.148   -0.218  
  12.16   0.378   -0.129   -0.144   -0.217  
  12.18   0.376   -0.124   -0.141   -0.216  
  12.20   0.374   -0.119   -0.137   -0.215  
  12.22   0.372   -0.115   -0.134   -0.214  
  12.24   0.369   -0.110   -0.130   -0.213  
  12.26   0.367   -0.106   -0.128   -0.212  
  12.28   0.365   -0.102   -0.126   -0.211  
  12.30   0.363   -0.097   -0.124   -0.210  
  12.32   0.361   -0.093   -0.122   -0.208  
  12.34   0.360   -0.089   -0.119   -0.205  
  12.36   0.359   -0.085   -0.117   -0.203  
  12.38   0.358   -0.081   -0.115   -0.200  
  12.40   0.357   -0.076   -0.113   -0.198  
  12.42   0.356   -0.072   -0.111   -0.196  
  12.44   0.355   -0.068   -0.109   -0.193  
  12.46   0.354   -0.063   -0.106   -0.191  
  12.48   0.353   -0.058   -0.103   -0.188  
  12.50   0.352   -0.053   -0.100   -0.186  
  12.52   0.351   -0.049   -0.097   -0.184  
  12.54   0.350   -0.044   -0.094   -0.181  
  12.56   0.351   -0.039   -0.091   -0.179  
  12.58   0.352   -0.034   -0.089   -0.178  
  12.60   0.353   -0.030   -0.086   -0.176  
  12.62   0.354   -0.025   -0.083   -0.175  
  12.64   0.355   -0.020   -0.080   -0.173  
  12.66   0.355   -0.015   -0.077   -0.172  
  12.68   0.356   -0.011   -0.075   -0.170  
  12.70   0.357   -0.006   -0.072   -0.169  
  12.72   0.358   -0.002   -0.069   -0.167  
  12.74   0.359    0.003   -0.066   -0.166  
  12.76   0.360    0.007   -0.064   -0.165  
  12.78   0.362    0.012   -0.061   -0.163  
  12.80   0.363    0.016   -0.058   -0.162  
  12.82   0.365    0.021   -0.055   -0.161  
  12.84   0.367    0.025   -0.053   -0.159  
  12.86   0.368    0.030   -0.050   -0.156  
  12.88   0.370    0.034   -0.047   -0.154  
  12.90   0.372    0.038   -0.043   -0.152  
  12.92   0.373    0.042   -0.040   -0.149  
  12.94   0.375    0.047   -0.037   -0.147  
  12.96   0.377    0.051   -0.033   -0.145  
  12.98   0.378    0.055   -0.030   -0.142  
  13.00   0.380    0.059   -0.027   -0.140  
  13.02   0.385    0.063   -0.023   -0.138  
  13.04   0.390    0.067   -0.020   -0.136  
  13.06   0.394    0.072   -0.017   -0.134  
  13.08   0.399    0.076   -0.013   -0.132  
  13.10   0.404    0.080   -0.010   -0.129  
  13.12   0.409    0.086   -0.008   -0.127  
  13.14   0.414    0.091   -0.005   -0.125  
  13.16   0.418    0.097   -0.003   -0.123  
  13.18   0.423    0.102   -0.000   -0.121  
  13.20   0.428    0.108    0.002   -0.119  
  13.22   0.433    0.114    0.004   -0.117  
  13.24   0.438    0.119    0.007   -0.115  
  13.26   0.443    0.125    0.009   -0.114  
  13.28   0.450    0.130    0.012   -0.112  
  13.30   0.456    0.136    0.014   -0.110  
  13.32   0.462    0.142    0.016   -0.108  
  13.34   0.469    0.147    0.019   -0.106  
  13.36   0.475    0.153    0.022   -0.105  
  13.38   0.482    0.159    0.025   -0.103  
  13.40   0.488    0.164    0.029   -0.101  
  13.42   0.495    0.170    0.032   -0.099  
  13.44   0.501    0.176    0.036   -0.096  
  13.46   0.507    0.181    0.040   -0.094  
  13.48   0.514    0.187    0.043   -0.091  
  13.50   0.520    0.193    0.047   -0.089  
  13.52   0.527    0.199    0.050   -0.086  
  13.54   0.534    0.204    0.054   -0.084  
  13.56   0.543    0.210    0.057   -0.081  
  13.58   0.551    0.216    0.061   -0.079  
  13.60   0.559    0.221    0.065   -0.076  
  13.62   0.568    0.227    0.068   -0.074  
  13.64   0.576    0.233    0.072   -0.071  
  13.66   0.585    0.240    0.075   -0.069  
  13.68   0.593    0.246    0.078   -0.067  
  13.70   0.601    0.253    0.081   -0.064  
  13.72   0.610    0.259    0.085   -0.062  
  13.74   0.618    0.265    0.088   -0.060  
  13.76   0.626    0.272    0.091   -0.057  
  13.78   0.635    0.278    0.094   -0.055  
  13.80   0.643    0.285    0.097   -0.053  
  13.82   0.652    0.291    0.101   -0.050  
  13.84   0.660    0.298    0.104   -0.048  
  13.86   0.669    0.304    0.107   -0.046  
  13.88   0.677    0.311    0.110   -0.043  
  13.90   0.686    0.317    0.114   -0.041  
  13.92   0.695    0.324    0.117   -0.039  
  13.94   0.704    0.330    0.120   -0.037  
  13.96   0.712    0.336    0.123   -0.035  
  13.98   0.721    0.342    0.126   -0.033  
  14.00   0.730    0.348    0.129   -0.031  
  14.02   0.738    0.355    0.132   -0.029  
  14.04   0.747    0.361    0.135   -0.027  
  14.06   0.756    0.367    0.138   -0.025  
  14.08   0.765    0.373    0.142   -0.024  
  14.10   0.773    0.379    0.145   -0.022  
  14.12   0.782    0.385    0.148   -0.020  
  14.14   0.791    0.392    0.151   -0.018  
  14.16   0.799    0.398    0.154   -0.016  
  14.18   0.808    0.404    0.157   -0.014  
  14.20   0.817    0.410    0.160   -0.012  
  14.22   0.826    0.416    0.163   -0.010  
  14.24   0.834    0.422    0.166   -0.007  
  14.26   0.842    0.428    0.169   -0.004  
  14.28   0.850    0.435    0.172   -0.001  
  14.30   0.859    0.441    0.175    0.001  
  14.32   0.867    0.447    0.178    0.004  
  14.34   0.875    0.453    0.181    0.007  
  14.36   0.883    0.458    0.184    0.010  
  14.38   0.891    0.464    0.187    0.013  
  14.40   0.900    0.469    0.190    0.016  
  14.42   0.908    0.475    0.192    0.019  
  14.44   0.916    0.480    0.195    0.021  
  14.46   0.924    0.485    0.198    0.024  
  14.48   0.932    0.491    0.200    0.027  
  14.50   0.940    0.496    0.203    0.030  
