## Mr-color sequences for He (DB and DC) white dwarfs. 
## Based on Bergeron et al. (1995) models, adjusted to fit SDSS data. 
## For details, see Palaversa et al. (2024). 
    Mr     ug       gr       ri       iz 
  11.76  -0.103   -0.274   -0.241   -0.251  
  11.78  -0.100   -0.270   -0.240   -0.250  
  11.80  -0.095   -0.266   -0.237   -0.249  
  11.82  -0.089   -0.262   -0.235   -0.247  
  11.84  -0.084   -0.258   -0.232   -0.246  
  11.86  -0.079   -0.254   -0.229   -0.245  
  11.88  -0.073   -0.250   -0.227   -0.243  
  11.90  -0.068   -0.246   -0.224   -0.242  
  11.92  -0.063   -0.242   -0.221   -0.241  
  11.94  -0.057   -0.238   -0.219   -0.239  
  11.96  -0.052   -0.234   -0.217   -0.237  
  11.98  -0.046   -0.230   -0.214   -0.234  
  12.00  -0.041   -0.226   -0.212   -0.232  
  12.02  -0.035   -0.222   -0.210   -0.230  
  12.04  -0.029   -0.218   -0.208   -0.228  
  12.06  -0.024   -0.213   -0.206   -0.226  
  12.08  -0.018   -0.209   -0.203   -0.223  
  12.10  -0.013   -0.204   -0.201   -0.221  
  12.12  -0.006   -0.200   -0.198   -0.219  
  12.14   0.001   -0.196   -0.195   -0.218  
  12.16   0.008   -0.191   -0.192   -0.217  
  12.18   0.016   -0.187   -0.189   -0.216  
  12.20   0.023   -0.182   -0.186   -0.215  
  12.22   0.031   -0.177   -0.183   -0.214  
  12.24   0.038   -0.172   -0.179   -0.213  
  12.26   0.045   -0.167   -0.176   -0.212  
  12.28   0.053   -0.162   -0.173   -0.211  
  12.30   0.060   -0.156   -0.170   -0.210  
  12.32   0.066   -0.151   -0.168   -0.208  
  12.34   0.071   -0.146   -0.167   -0.205  
  12.36   0.077   -0.141   -0.165   -0.203  
  12.38   0.082   -0.135   -0.164   -0.200  
  12.40   0.088   -0.130   -0.162   -0.198  
  12.42   0.094   -0.125   -0.160   -0.196  
  12.44   0.099   -0.120   -0.159   -0.193  
  12.46   0.105   -0.116   -0.157   -0.191  
  12.48   0.110   -0.111   -0.156   -0.188  
  12.50   0.116   -0.106   -0.154   -0.186  
  12.52   0.122   -0.101   -0.152   -0.184  
  12.54   0.127   -0.096   -0.151   -0.181  
  12.56   0.134   -0.092   -0.148   -0.179  
  12.58   0.142   -0.087   -0.145   -0.178  
  12.60   0.149   -0.082   -0.142   -0.176  
  12.62   0.157   -0.077   -0.139   -0.175  
  12.64   0.165   -0.072   -0.136   -0.173  
  12.66   0.172   -0.067   -0.133   -0.172  
  12.68   0.180   -0.061   -0.130   -0.170  
  12.70   0.188   -0.055   -0.127   -0.169  
  12.72   0.196   -0.048   -0.125   -0.167  
  12.74   0.204   -0.042   -0.122   -0.166  
  12.76   0.212   -0.036   -0.119   -0.165  
  12.78   0.220   -0.030   -0.117   -0.163  
  12.80   0.228   -0.025   -0.114   -0.162  
  12.82   0.236   -0.019   -0.111   -0.161  
  12.84   0.243   -0.014   -0.108   -0.159  
  12.86   0.249   -0.009   -0.105   -0.156  
  12.88   0.255   -0.003   -0.101   -0.154  
  12.90   0.261    0.002   -0.098   -0.152  
  12.92   0.266    0.007   -0.094   -0.149  
  12.94   0.272    0.012   -0.091   -0.147  
  12.96   0.278    0.017   -0.087   -0.145  
  12.98   0.284    0.022   -0.084   -0.142  
  13.00   0.290    0.026   -0.080   -0.140  
  13.02   0.297    0.031   -0.078   -0.138  
  13.04   0.305    0.036   -0.076   -0.136  
  13.06   0.312    0.041   -0.074   -0.134  
  13.08   0.319    0.045   -0.072   -0.132  
  13.10   0.327    0.050   -0.069   -0.129  
  13.12   0.334    0.055   -0.067   -0.127  
  13.14   0.342    0.061   -0.065   -0.125  
  13.16   0.349    0.066   -0.063   -0.123  
  13.18   0.356    0.071   -0.061   -0.121  
  13.20   0.364    0.076   -0.059   -0.119  
  13.22   0.371    0.082   -0.056   -0.117  
  13.24   0.378    0.087   -0.053   -0.115  
  13.26   0.385    0.092   -0.050   -0.114  
  13.28   0.393    0.097   -0.048   -0.112  
  13.30   0.400    0.102   -0.045   -0.110  
  13.32   0.407    0.107   -0.042   -0.108  
  13.34   0.415    0.111   -0.040   -0.106  
  13.36   0.422    0.116   -0.037   -0.105  
  13.38   0.429    0.120   -0.034   -0.103  
  13.40   0.436    0.125   -0.031   -0.101  
  13.42   0.444    0.130   -0.028   -0.099  
  13.44   0.451    0.134   -0.025   -0.096  
  13.46   0.459    0.139   -0.022   -0.094  
  13.48   0.466    0.143   -0.018   -0.091  
  13.50   0.474    0.148   -0.015   -0.089  
  13.52   0.481    0.153   -0.012   -0.086  
  13.54   0.489    0.159   -0.008   -0.084  
  13.56   0.496    0.165   -0.005   -0.081  
  13.58   0.504    0.170   -0.002   -0.079  
  13.60   0.511    0.176    0.002   -0.076  
  13.62   0.519    0.182    0.005   -0.074  
  13.64   0.526    0.188    0.008   -0.071  
  13.66   0.535    0.194    0.012   -0.069  
  13.68   0.544    0.200    0.015   -0.067  
  13.70   0.553    0.205    0.018   -0.064  
  13.72   0.562    0.211    0.021   -0.062  
  13.74   0.572    0.217    0.024   -0.060  
  13.76   0.581    0.223    0.027   -0.057  
  13.78   0.590    0.229    0.030   -0.055  
  13.80   0.599    0.235    0.033   -0.053  
  13.82   0.608    0.242    0.036   -0.050  
  13.84   0.618    0.248    0.039   -0.048  
  13.86   0.627    0.254    0.042   -0.046  
  13.88   0.636    0.260    0.045   -0.043  
  13.90   0.645    0.266    0.048   -0.041  
  13.92   0.655    0.272    0.052   -0.039  
  13.94   0.666    0.278    0.055   -0.037  
  13.96   0.677    0.285    0.058   -0.035  
  13.98   0.688    0.291    0.061   -0.033  
  14.00   0.699    0.297    0.065   -0.031  
  14.02   0.710    0.303    0.068   -0.029  
  14.04   0.721    0.310    0.071   -0.027  
  14.06   0.732    0.316    0.074   -0.025  
  14.08   0.743    0.323    0.077   -0.024  
  14.10   0.754    0.329    0.081   -0.022  
  14.12   0.765    0.335    0.084   -0.020  
  14.14   0.776    0.342    0.087   -0.018  
  14.16   0.787    0.348    0.090   -0.016  
  14.18   0.798    0.355    0.094   -0.014  
  14.20   0.809    0.361    0.097   -0.012  
  14.22   0.820    0.368    0.100   -0.010  
  14.24   0.835    0.374    0.104   -0.007  
  14.26   0.851    0.381    0.108   -0.004  
  14.28   0.866    0.387    0.112   -0.001  
  14.30   0.882    0.394    0.116    0.001  
