## Mr-color sequences for H (DA) white dwarf plus M dwarf with [Fe/H] = 0.0 
## Mr is the total, dMr is the difference between WD and MD. 
## For details, see Palaversa et al. (2024). 
    Mr     ug       gr       ri       iz       dMr
   8.54  -0.486   -0.383    0.189    0.272   -1.40  
   8.56  -0.490   -0.399    0.169    0.266   -1.50  
   8.58  -0.493   -0.415    0.149    0.260   -1.60  
   8.59  -0.497   -0.430    0.129    0.253   -1.70  
   8.61  -0.499   -0.443    0.109    0.245   -1.80  
   8.63  -0.502   -0.456    0.089    0.237   -1.90  
   8.64  -0.505   -0.467    0.069    0.228   -2.00  
   8.65  -0.507   -0.478    0.049    0.219   -2.10  
   8.67  -0.509   -0.488    0.029    0.209   -2.20  
   8.68  -0.511   -0.497    0.010    0.198   -2.30  
   8.69  -0.512   -0.506   -0.009    0.188   -2.40  
   8.70  -0.514   -0.513   -0.027    0.176   -2.50  
   8.71  -0.516   -0.521   -0.045    0.165   -2.60  
   8.71  -0.517   -0.527   -0.062    0.153   -2.70  
   8.72  -0.518   -0.533   -0.079    0.141   -2.80  
   8.73  -0.519   -0.539   -0.095    0.128   -2.90  
   8.73  -0.520   -0.544   -0.111    0.116   -3.00  
   8.74  -0.521   -0.549   -0.126    0.103   -3.10  
   8.74  -0.522   -0.553   -0.141    0.090   -3.20  
   8.75  -0.523   -0.557   -0.157    0.074   -3.30  
   8.75  -0.523   -0.561   -0.172    0.058   -3.40  
   8.76  -0.524   -0.564   -0.186    0.042   -3.50  
   8.76  -0.525   -0.567   -0.199    0.027   -3.60  
   8.76  -0.525   -0.570   -0.212    0.011   -3.70  
   8.77  -0.526   -0.572   -0.224   -0.004   -3.80  
   8.77  -0.526   -0.575   -0.236   -0.019   -3.90  
   8.77  -0.526   -0.577   -0.246   -0.034   -4.00  
   8.78  -0.527   -0.579   -0.256   -0.049   -4.10  
   8.78  -0.527   -0.581   -0.266   -0.063   -4.20  
   8.78  -0.527   -0.582   -0.275   -0.077   -4.30  
   8.78  -0.528   -0.584   -0.283   -0.090   -4.40  
   8.78  -0.528   -0.585   -0.291   -0.103   -4.50  
   8.78  -0.528   -0.587   -0.299   -0.116   -4.60  
   8.79  -0.528   -0.588   -0.306   -0.128   -4.70  
   8.79  -0.528   -0.589   -0.312   -0.139   -4.80  
   8.79  -0.528   -0.590   -0.318   -0.151   -4.90  
   8.79  -0.529   -0.591   -0.324   -0.162   -5.00  
   8.79  -0.529   -0.591   -0.329   -0.172   -5.10  
   8.79  -0.529   -0.592   -0.334   -0.182   -5.20  
   8.79  -0.529   -0.593   -0.339   -0.194   -5.30  
   8.79  -0.529   -0.594   -0.344   -0.205   -5.40  
   8.79  -0.529   -0.594   -0.348   -0.216   -5.50  
   8.79  -0.529   -0.595   -0.352   -0.226   -5.60  
   8.79  -0.529   -0.595   -0.356   -0.236   -5.70  
   7.93  -0.302    0.143    0.421    0.268    0.40  
   7.99  -0.319    0.104    0.419    0.274    0.30  
   8.04  -0.335    0.065    0.416    0.280    0.20  
   8.10  -0.350    0.028    0.412    0.285    0.10  
   8.15  -0.363   -0.009    0.406    0.290    0.00  
   8.20  -0.376   -0.044    0.399    0.295   -0.10  
   8.24  -0.387   -0.079    0.391    0.298   -0.20  
   8.29  -0.398   -0.111    0.381    0.301   -0.30  
   8.33  -0.408   -0.143    0.370    0.304   -0.40  
   8.37  -0.417   -0.173    0.358    0.306   -0.50  
   8.41  -0.425   -0.202    0.344    0.307   -0.60  
   8.44  -0.432   -0.229    0.329    0.307   -0.70  
   8.48  -0.439   -0.255    0.313    0.306   -0.80  
   8.51  -0.446   -0.280    0.297    0.305   -0.90  
   8.54  -0.452   -0.303    0.279    0.303   -1.00  
   8.56  -0.457   -0.325    0.261    0.300   -1.10  
   8.59  -0.462   -0.345    0.242    0.297   -1.20  
   8.61  -0.467   -0.365    0.222    0.292   -1.30  
   8.64  -0.471   -0.383    0.202    0.287   -1.40  
   8.66  -0.475   -0.399    0.182    0.282   -1.50  
   8.68  -0.478   -0.415    0.161    0.275   -1.60  
   8.69  -0.481   -0.430    0.141    0.268   -1.70  
   8.71  -0.484   -0.443    0.120    0.261   -1.80  
   8.73  -0.487   -0.456    0.099    0.252   -1.90  
   8.74  -0.489   -0.467    0.079    0.243   -2.00  
   8.75  -0.491   -0.478    0.059    0.234   -2.10  
   8.77  -0.494   -0.488    0.039    0.224   -2.20  
   8.78  -0.495   -0.497    0.019    0.213   -2.30  
   8.79  -0.497   -0.506    0.000    0.202   -2.40  
   8.80  -0.499   -0.513   -0.019    0.191   -2.50  
   8.81  -0.500   -0.520   -0.037    0.179   -2.60  
   8.81  -0.502   -0.527   -0.055    0.167   -2.70  
   8.82  -0.503   -0.533   -0.072    0.155   -2.80  
   8.83  -0.504   -0.539   -0.088    0.143   -2.90  
   8.83  -0.505   -0.544   -0.104    0.130   -3.00  
   8.84  -0.506   -0.549   -0.120    0.117   -3.10  
   8.84  -0.507   -0.553   -0.137    0.101   -3.20  
   8.85  -0.507   -0.557   -0.153    0.085   -3.30  
   8.85  -0.508   -0.561   -0.168    0.068   -3.40  
   8.86  -0.509   -0.564   -0.183    0.052   -3.50  
   8.86  -0.509   -0.567   -0.196    0.036   -3.60  
   8.86  -0.510   -0.570   -0.209    0.020   -3.70  
   8.87  -0.510   -0.572   -0.221    0.005   -3.80  
   8.87  -0.511   -0.575   -0.233   -0.010   -3.90  
   8.87  -0.511   -0.577   -0.244   -0.025   -4.00  
   8.88  -0.511   -0.579   -0.254   -0.040   -4.10  
   8.88  -0.512   -0.581   -0.264   -0.054   -4.20  
   8.88  -0.512   -0.582   -0.273   -0.068   -4.30  
   8.88  -0.512   -0.584   -0.281   -0.082   -4.40  
   8.88  -0.512   -0.585   -0.289   -0.095   -4.50  
   8.88  -0.513   -0.587   -0.297   -0.108   -4.60  
   8.89  -0.513   -0.588   -0.304   -0.120   -4.70  
   8.89  -0.513   -0.589   -0.311   -0.132   -4.80  
   8.89  -0.513   -0.590   -0.317   -0.144   -4.90  
   8.89  -0.513   -0.591   -0.323   -0.155   -5.00  
   8.89  -0.513   -0.591   -0.328   -0.166   -5.10  
   8.89  -0.513   -0.592   -0.333   -0.178   -5.20  
