## Mr-color sequences for He (DB+DC) white dwarf plus M dwarf with [Fe/H] = -1.5 
## Mr is the total, dMr is the difference between WD and MD. 
## For details, see Palaversa et al. (2024). 
    Mr     ug       gr       ri       iz       dMr
   8.76  -0.661   -0.602   -0.360   -0.139   -3.60  
   8.76  -0.662   -0.605   -0.369   -0.148   -3.70  
   8.77  -0.662   -0.607   -0.378   -0.158   -3.80  
   8.77  -0.663   -0.609   -0.387   -0.167   -3.90  
   8.77  -0.663   -0.612   -0.395   -0.176   -4.00  
   8.78  -0.663   -0.613   -0.402   -0.185   -4.10  
   8.78  -0.664   -0.615   -0.410   -0.195   -4.20  
   8.78  -0.664   -0.617   -0.417   -0.204   -4.30  
   8.78  -0.664   -0.618   -0.424   -0.213   -4.40  
   8.78  -0.664   -0.620   -0.430   -0.222   -4.50  
   8.78  -0.665   -0.621   -0.436   -0.231   -4.60  
   8.79  -0.665   -0.622   -0.442   -0.240   -4.70  
   8.79  -0.665   -0.623   -0.448   -0.248   -4.80  
   8.79  -0.665   -0.624   -0.453   -0.257   -4.90  
   8.79  -0.665   -0.625   -0.458   -0.266   -5.00  
   8.79  -0.665   -0.626   -0.463   -0.274   -5.10  
   8.79  -0.666   -0.627   -0.467   -0.282   -5.20  
   8.79  -0.666   -0.627   -0.473   -0.298   -5.30  
   8.79  -0.666   -0.628   -0.478   -0.312   -5.40  
   8.79  -0.666   -0.629   -0.483   -0.326   -5.50  
   8.79  -0.666   -0.629   -0.488   -0.339   -5.60  
   8.79  -0.666   -0.630   -0.493   -0.352   -5.70  
   7.93  -0.406    0.093    0.185    0.121    0.40  
   7.99  -0.429    0.059    0.178    0.122    0.30  
   8.04  -0.449    0.025    0.171    0.122    0.20  
   8.10  -0.468   -0.008    0.162    0.122    0.10  
   8.15  -0.484   -0.042    0.153    0.122    0.00  
   8.20  -0.499   -0.074    0.143    0.121   -0.10  
   8.24  -0.513   -0.107    0.133    0.121   -0.20  
   8.29  -0.525   -0.138    0.122    0.119   -0.30  
   8.33  -0.536   -0.168    0.110    0.118   -0.40  
   8.37  -0.546   -0.197    0.098    0.117   -0.50  
   8.41  -0.555   -0.225    0.086    0.115   -0.60  
   8.44  -0.563   -0.252    0.073    0.114   -0.70  
   8.48  -0.570   -0.278    0.060    0.112   -0.80  
   8.51  -0.576   -0.302    0.047    0.109   -0.90  
   8.54  -0.582   -0.325    0.033    0.107   -1.00  
   8.56  -0.588   -0.347    0.018    0.103   -1.10  
   8.59  -0.593   -0.368    0.004    0.100   -1.20  
