## Mr-color sequences for H (DA) white dwarf plus M dwarf with [Fe/H] = -1.5 
## Mr is the total, dMr is the difference between WD and MD. 
## For details, see Palaversa et al. (2024). 
    Mr     ug       gr       ri       iz       dMr
   8.10  -0.381   -0.056    0.169    0.121   -0.10  
   8.14  -0.395   -0.088    0.160    0.121   -0.20  
   8.19  -0.408   -0.118    0.151    0.120   -0.30  
   8.23  -0.419   -0.148    0.141    0.119   -0.40  
   8.27  -0.429   -0.177    0.132    0.117   -0.50  
   8.31  -0.438   -0.205    0.121    0.116   -0.60  
   8.34  -0.447   -0.231    0.111    0.115   -0.70  
   8.38  -0.454   -0.257    0.100    0.113   -0.80  
   8.41  -0.461   -0.281    0.089    0.111   -0.90  
   8.44  -0.467   -0.304    0.077    0.109   -1.00  
   8.46  -0.472   -0.325    0.065    0.107   -1.10  
   8.49  -0.477   -0.346    0.053    0.104   -1.20  
   8.51  -0.482   -0.365    0.040    0.101   -1.30  
   8.54  -0.486   -0.383    0.027    0.097   -1.40  
   8.56  -0.490   -0.400    0.014    0.093   -1.50  
   8.58  -0.493   -0.415    0.001    0.088   -1.60  
   8.59  -0.497   -0.430   -0.013    0.082   -1.70  
   8.61  -0.500   -0.443   -0.027    0.076   -1.80  
   8.63  -0.502   -0.456   -0.041    0.070   -1.90  
   8.64  -0.505   -0.467   -0.055    0.063   -2.00  
   8.65  -0.507   -0.478   -0.069    0.056   -2.10  
   8.67  -0.509   -0.488   -0.083    0.048   -2.20  
   8.68  -0.511   -0.497   -0.097    0.039   -2.30  
   8.69  -0.512   -0.506   -0.111    0.031   -2.40  
   8.70  -0.514   -0.514   -0.124    0.022   -2.50  
   8.71  -0.515   -0.521   -0.137    0.013   -2.60  
   8.71  -0.517   -0.528   -0.150    0.003   -2.70  
   8.72  -0.518   -0.534   -0.162   -0.006   -2.80  
   8.73  -0.519   -0.539   -0.174   -0.016   -2.90  
   8.73  -0.520   -0.544   -0.186   -0.026   -3.00  
   8.74  -0.521   -0.549   -0.197   -0.036   -3.10  
   8.74  -0.522   -0.553   -0.208   -0.045   -3.20  
   8.75  -0.522   -0.557   -0.217   -0.052   -3.30  
   8.75  -0.523   -0.561   -0.225   -0.059   -3.40  
   8.76  -0.524   -0.564   -0.234   -0.066   -3.50  
   8.76  -0.524   -0.567   -0.242   -0.073   -3.60  
   8.76  -0.525   -0.570   -0.250   -0.080   -3.70  
   8.77  -0.525   -0.573   -0.257   -0.087   -3.80  
   8.77  -0.526   -0.575   -0.265   -0.094   -3.90  
   8.77  -0.526   -0.577   -0.272   -0.101   -4.00  
   8.78  -0.527   -0.579   -0.278   -0.108   -4.10  
   8.78  -0.527   -0.581   -0.285   -0.115   -4.20  
   8.78  -0.527   -0.583   -0.291   -0.122   -4.30  
   8.78  -0.527   -0.584   -0.296   -0.129   -4.40  
   8.78  -0.528   -0.585   -0.302   -0.136   -4.50  
   8.78  -0.528   -0.587   -0.307   -0.143   -4.60  
   8.79  -0.528   -0.588   -0.312   -0.150   -4.70  
   8.79  -0.528   -0.589   -0.317   -0.157   -4.80  
   8.79  -0.528   -0.590   -0.322   -0.163   -4.90  
   8.79  -0.529   -0.591   -0.326   -0.170   -5.00  
   8.79  -0.529   -0.592   -0.330   -0.176   -5.10  
   8.79  -0.529   -0.592   -0.334   -0.182   -5.20  
   8.79  -0.529   -0.593   -0.339   -0.194   -5.30  
   8.79  -0.529   -0.594   -0.344   -0.205   -5.40  
   8.79  -0.529   -0.594   -0.348   -0.216   -5.50  
   8.79  -0.529   -0.595   -0.352   -0.226   -5.60  
   8.79  -0.529   -0.595   -0.356   -0.236   -5.70  
   7.93  -0.274    0.111    0.214    0.130    0.40  
   7.99  -0.297    0.078    0.209    0.131    0.30  
