## SDSS/LSST colors as functions of Mr and FeH ########
## see MSandRGBcolors_v1.3.header
#   Mr      FeH      ug       gr       ri      iz     zy
   0.20   -2.50   1.2410   0.5285   0.2350   0.1416   0.0678 
   0.21   -2.50   1.2398   0.5281   0.2348   0.1414   0.0677 
   0.22   -2.50   1.2387   0.5277   0.2345   0.1411   0.0676 
   0.23   -2.50   1.2375   0.5273   0.2343   0.1409   0.0675 
   0.24   -2.50   1.2363   0.5269   0.2340   0.1407   0.0674 
   0.25   -2.50   1.2352   0.5264   0.2338   0.1405   0.0673 
   0.26   -2.50   1.2340   0.5260   0.2335   0.1403   0.0672 
   0.27   -2.50   1.2329   0.5256   0.2333   0.1400   0.0671 
   0.28   -2.50   1.2317   0.5252   0.2330   0.1398   0.0670 
   0.29   -2.50   1.2305   0.5248   0.2328   0.1396   0.0669 
   0.30   -2.50   1.2294   0.5244   0.2325   0.1394   0.0668 
   0.31   -2.50   1.2282   0.5240   0.2323   0.1392   0.0667 
   0.32   -2.50   1.2270   0.5235   0.2320   0.1389   0.0666 
   0.33   -2.50   1.2259   0.5231   0.2317   0.1387   0.0665 
   0.34   -2.50   1.2247   0.5227   0.2315   0.1385   0.0664 
   0.35   -2.50   1.2236   0.5223   0.2312   0.1383   0.0663 
   0.36   -2.50   1.2224   0.5219   0.2310   0.1381   0.0662 
   0.37   -2.50   1.2212   0.5215   0.2307   0.1378   0.0661 
   0.38   -2.50   1.2201   0.5211   0.2305   0.1376   0.0660 
   0.39   -2.50   1.2189   0.5207   0.2302   0.1374   0.0659 
   0.40   -2.50   1.2177   0.5202   0.2300   0.1372   0.0658 
   0.41   -2.50   1.2166   0.5198   0.2298   0.1369   0.0657 
   0.42   -2.50   1.2154   0.5194   0.2295   0.1367   0.0656 
   0.43   -2.50   1.2143   0.5190   0.2293   0.1365   0.0654 
   0.44   -2.50   1.2131   0.5186   0.2290   0.1363   0.0653 
   0.45   -2.50   1.2119   0.5182   0.2288   0.1361   0.0652 
   0.46   -2.50   1.2108   0.5178   0.2285   0.1358   0.0651 
   0.47   -2.50   1.2096   0.5174   0.2283   0.1356   0.0650 
   0.48   -2.50   1.2085   0.5170   0.2280   0.1354   0.0649 
   0.49   -2.50   1.2073   0.5165   0.2278   0.1352   0.0648 
   0.50   -2.50   1.2061   0.5161   0.2275   0.1350   0.0647 
   0.51   -2.50   1.2050   0.5157   0.2272   0.1347   0.0646 
   0.52   -2.50   1.2038   0.5153   0.2270   0.1345   0.0645 
   0.53   -2.50   1.2026   0.5149   0.2267   0.1343   0.0644 
   0.54   -2.50   1.2015   0.5145   0.2265   0.1341   0.0643 
   0.55   -2.50   1.2003   0.5141   0.2262   0.1339   0.0642 
   0.56   -2.50   1.1991   0.5136   0.2260   0.1336   0.0641 
   0.57   -2.50   1.1980   0.5132   0.2257   0.1334   0.0640 
   0.58   -2.50   1.1968   0.5128   0.2255   0.1332   0.0639 
   0.59   -2.50   1.1957   0.5124   0.2252   0.1330   0.0638 
   0.60   -2.50   1.1945   0.5120   0.2250   0.1328   0.0637 
