      glon       glat        FeHEst FeHUnc  MrEst  MrUnc  ArEst  ArUnc  chi2min    MrdS     FeHdS      ArdS 
  0.74896169 -44.61698532   -1.25   0.51   14.12   0.09    0.28   0.01   1.78     -40.8      -9.6    -275.6        81
  1.30596268 -44.35468674   -0.16   0.08    4.74   0.18    0.14   0.04   4.50     -33.8     -12.7     -54.7        82
  0.29522616 -45.30241394   -0.43   0.18   14.05   0.09    0.20   0.03   0.97     -42.2     -14.8    -120.5        83
  0.97701371 -45.09798813   -0.27   0.10    7.25   0.09    0.17   0.06   0.65     -41.6      -8.9     -59.0        84
  1.41966414 -44.68206787   -0.23   0.15   10.61   0.15    0.12   0.02   1.99     -33.7     -16.6    -157.2        85
  0.81459296 -44.78352737   -0.17   0.10   12.26   0.12    0.12   0.04   0.38     -37.5     -25.1     -65.6        86
  0.87394834 -45.24259186   -0.32   0.24    9.30   0.22    0.14   0.03   1.95     -31.1     -13.0    -119.7        87
  0.79808629 -44.58741760   -0.24   0.15    9.85   0.15    0.14   0.02   6.76     -33.5     -15.0    -179.1        88
  1.21306288 -45.06443024   -0.17   0.10   10.04   0.11    0.11   0.02   2.52     -35.5     -18.1    -170.9        89
  0.64043719 -45.31837845   -0.22   0.13   11.85   0.14    0.15   0.03   0.98     -35.6     -19.3     -97.5        90
  0.69702506 -44.94982147   -0.27   0.18   13.22   0.11    0.10   0.05   4.05     -37.9     -16.2     -34.1        91
  0.72939175 -45.07633591   -0.28   0.18   11.25   0.17    0.16   0.03   0.14     -32.8     -15.4    -110.1        92
  0.82766390 -44.64699936   -0.31   0.18   11.02   0.18    0.11   0.02   0.82     -30.0     -11.1    -174.1        93
  1.43494785 -44.40495682   -0.34   0.26   13.21   0.22    0.19   0.06   5.24     -25.4     -14.5     -39.0        94
  1.43531728 -44.73275375   -0.12   0.05    5.34   0.09    0.09   0.03   5.89     -51.5     -19.4    -144.8        95
  0.19152111 -44.97649002   -0.26   0.14   12.31   0.14    0.20   0.03   0.35     -33.2     -15.5    -132.0        96
  0.04173538 -44.99900055   -0.42   0.19   14.00   0.11    0.16   0.05   3.38     -38.8     -14.2     -39.5        97
  0.05931144 -44.99583054   -0.25   0.10    5.22   0.19    0.09   0.04   3.20     -35.1      -7.3     -70.7        98
  0.39981449 -44.82101440   -0.14   0.07    4.06   0.18    0.11   0.03   0.71     -34.7     -16.1     -94.6        99
  0.49841493 -44.77323914   -0.28   0.18   13.03   0.12    0.12   0.05   0.20     -37.0     -15.8     -43.3       100
  0.39889729 -45.38540649   -0.41   0.18   14.05   0.07    0.14   0.02   2.42     -43.5     -12.1    -132.8       101
  0.81264865 -45.13879395   -0.19   0.09    7.28   0.09    0.15   0.05   0.08     -37.0     -12.2     -62.6       102
