      glon       glat        FeHEst FeHUnc  MrEst  MrUnc  ArEst  ArUnc  chi2min    MrdS     FeHdS      ArdS 
  0.44708264 -45.33292007   -0.33   0.25    9.30   0.23    0.11   0.04   4.94     -29.8     -12.9     -61.2       461
  0.36254603 -45.41353226   -0.20   0.11    9.69   0.11    0.12   0.02   0.67     -35.0     -13.6    -205.3       462
  1.40368593 -44.44391251   -0.30   0.11   12.90   0.07    0.11   0.02   3.95     -40.4     -12.7    -132.3       463
  0.91391742 -44.89448547   -0.40   0.20   13.91   0.10    0.13   0.05   2.83     -40.4     -13.7     -15.9       464
  0.28036276 -45.63642502   -0.22   0.10    5.47   0.16    0.11   0.04   0.11     -37.8      -8.4     -82.9       465
  1.45396876 -44.24901199   -0.23   0.16   12.65   0.14    0.05   0.05   3.15     -34.1     -20.1     -87.7       466
  1.01698303 -45.24528503   -0.22   0.13   12.18   0.14    0.11   0.03   1.85     -34.7     -19.0    -100.1       467
  1.10003603 -44.87389755   -0.17   0.10   12.10   0.11    0.14   0.03   0.40     -38.4     -24.8     -90.2       468
  0.18430473 -45.35412979   -0.33   0.22    9.54   0.21    0.17   0.02   0.92     -29.3     -10.8    -179.3       469
  0.71876848 -44.83771515   -0.60   0.54   13.85   0.11    0.20   0.05   1.44     -36.7      -8.1     -77.8       470
  0.29986468 -44.87804031   -0.66   0.48   13.84   0.13    0.19   0.05   2.88     -33.8      -5.0     -86.1       471
  1.13118517 -44.79207611   -0.16   0.08   10.25   0.09    0.08   0.02   4.11     -38.3     -16.3    -188.2       472
  1.23863816 -44.48917007   -0.18   0.09    4.09   0.23    0.10   0.04   0.31     -30.4     -10.7     -76.1       473
  0.16332243 -45.38224030   -0.73   0.50   13.88   0.11    0.21   0.04   2.83     -36.7      -4.1     -97.1       474
  0.88189864 -45.04376221   -0.24   0.15    9.14   0.14    0.09   0.02   0.19     -33.0     -13.6    -193.3       475
  1.24876928 -44.78568268   -0.35   0.28   13.11   0.13    0.13   0.02   0.06     -36.7     -13.1    -130.8       476
  0.64199442 -44.99881363   -0.12   0.05    5.24   0.09    0.07   0.02   2.42     -50.4     -19.2    -171.0       477
  0.44847828 -45.47695923   -0.17   0.09   11.74   0.10    0.12   0.03   3.21     -39.1     -23.7    -100.6       478
  1.31427324 -44.66027451   -0.25   0.08    6.23   0.12    0.07   0.04   1.61     -42.2     -11.7    -133.5       479
  0.02795055 -45.72872925   -0.11   0.03    3.14   0.19    0.10   0.06   3.82     -31.1     -24.1     -25.6       480
  0.48336482 -45.52002716   -0.13   0.05   10.11   0.06    0.12   0.02   4.03     -43.5     -19.5    -199.3       481
  0.99513537 -45.25785446   -0.24   0.16   13.45   0.11    0.12   0.06   2.85     -38.0     -18.8     -18.1       482
  0.38887092 -45.06031418   -0.12   0.05    5.93   0.08    0.08   0.02   1.04     -50.2     -21.0    -191.7       483
  0.61680293 -45.44145966   -0.27   0.18   10.97   0.20    0.12   0.07   2.19     -28.6     -17.3      -1.2       484
  1.26779485 -45.04576874   -0.27   0.11    5.70   0.17    0.06   0.04   5.94     -33.4     -10.0     -84.0       485
  0.53662777 -44.86299896   -0.37   0.28   10.91   0.28    0.12   0.08   0.43     -22.8     -12.3      -1.3       486
  0.55881935 -45.10165787   -1.09   0.58   14.03   0.10    0.18   0.04  10.01     -39.3      -7.6     -68.3       487
  1.07400560 -44.91725540   -0.28   0.20   12.35   0.19    0.12   0.07   0.19     -29.3     -16.4      -1.4       488
  0.60766101 -44.70560455   -0.88   0.50   13.96   0.10    0.21   0.03   1.92     -37.0      -3.2    -146.7       489
  0.21313238 -45.21630096   -0.23   0.14   11.02   0.14    0.14   0.02   9.63     -35.4     -17.2    -194.6       490
  0.21276894 -45.36013412   -0.38   0.19    8.41   0.17    0.13   0.03   0.14     -27.5      -5.7    -139.1       491
  1.06443906 -44.73325348   -0.27   0.14    7.78   0.09    0.04   0.03   8.21     -37.1      -5.5    -138.2       492
  0.10369117 -45.63848114   -0.31   0.18   12.05   0.18    0.12   0.05   0.06     -31.6     -14.9     -49.3       493
  0.13303512 -44.99913025   -0.32   0.21   10.84   0.20    0.14   0.03   0.17     -31.3     -13.1    -129.4       494
  0.38047367 -44.81361389   -0.29   0.18   11.15   0.17    0.09   0.02   0.30     -30.9     -13.3    -138.1       495
  1.31700313 -44.43931580   -0.32   0.21   10.42   0.19    0.15   0.02   0.09     -31.0     -12.4    -172.0       496
  1.15694809 -44.89485931   -0.26   0.17   11.50   0.17    0.18   0.04   0.39     -33.7     -16.8     -91.1       497
  0.45774356 -44.75609970   -0.95   0.45    9.29   0.32    0.15   0.02   1.61     -22.0       1.7    -171.5       498
  0.76377910 -44.60632706   -0.48   0.11    4.53   0.25    0.19   0.05   1.06     -27.9      -7.1     -70.7       499
  0.72569948 -44.67484283   -0.26   0.18    9.73   0.17    0.11   0.03   2.55     -33.8     -16.9     -97.4       500
  0.10021266 -45.28764343   -0.79   0.24    8.50   0.16    0.18   0.03   1.71     -28.3      -1.2    -105.5       501
  0.75474888 -44.84012985   -0.50   0.10    5.16   0.19    0.18   0.04   2.30     -31.6      -9.1     -69.9       502
  0.12218973 -44.94764328   -0.67   0.10    7.19   0.16    0.09   0.06   0.80     -29.1      -9.2     -87.2       503
  0.79929543 -44.66947174   -0.40   0.25   12.65   0.17    0.19   0.05   4.51     -30.4     -12.4     -63.4       504
  0.70069325 -44.80153275   -0.32   0.21   10.84   0.20    0.13   0.04   0.10     -30.9     -13.9     -74.5       505
  1.13375044 -44.40246582   -0.80   0.50   13.92   0.13    0.26   0.03   4.12     -33.9      -4.7    -160.0       506
  0.58032632 -45.06332016   -0.58   0.07    3.12   0.16    0.10   0.06   0.95     -34.0     -11.6      -5.5       507
  1.19042659 -44.67448807   -0.31   0.19   12.39   0.17    0.16   0.05   1.39     -31.9     -14.5     -40.9       508
  1.03537714 -44.59015274   -0.75   0.59   13.93   0.10    0.22   0.04   3.63     -38.0      -6.8     -98.6       509
  0.55640823 -45.01066589   -0.42   0.33   13.58   0.17    0.17   0.05   0.83     -30.0     -11.3     -55.2       510
  0.14554243 -45.31169891   -0.48   0.14    5.48   0.22    0.17   0.05   6.64     -26.1     -11.9     -66.6       511
  1.46872485 -45.00521088   -0.26   0.16   11.64   0.16    0.13   0.03   0.22     -33.6     -16.4    -103.5       512
  1.04596686 -45.03775406   -0.37   0.26   10.88   0.23    0.10   0.04   3.64     -29.2     -11.6     -45.8       513
  1.10101438 -44.95815277   -0.39   0.30   10.68   0.27    0.13   0.07   0.69     -23.9     -11.4      -2.0       514
  0.63290381 -45.15047455   -0.48   0.14    5.43   0.24    0.16   0.05   0.80     -31.5      -3.9     -60.6       515
  1.15186477 -44.75699997   -0.35   0.26   11.86   0.23    0.21   0.06   0.65     -26.9     -13.2     -65.6       516
  0.03932835 -45.32609558   -0.33   0.24   11.23   0.26    0.14   0.08   0.02     -23.4     -14.3      -1.5       517
  0.11325617 -45.45867157   -0.59   0.15    6.13   0.22    0.13   0.05   2.27     -34.6      -5.2    -112.7       518
  0.28977695 -45.02686691   -0.39   0.23   10.02   0.21    0.13   0.02   0.21     -27.1      -7.8    -156.1       519
  1.35007775 -44.54769135   -0.22   0.12   11.10   0.12    0.07   0.02   1.08     -33.3     -15.3    -155.5       520
  1.26512456 -44.64056396   -0.40   0.28   11.35   0.24    0.16   0.03   2.31     -28.6      -9.8    -126.0       521
  0.55595547 -44.94660950   -0.41   0.12    7.54   0.09    0.06   0.05   0.46     -37.1      -7.0     -89.0       522
  1.43128002 -44.54852676   -0.25   0.17   10.99   0.17    0.20   0.03   1.81     -34.1     -17.2    -108.8       523
  1.20219052 -44.69930649   -0.33   0.22    9.41   0.20    0.12   0.02   0.32     -29.5     -10.8    -174.6       524
  0.75695395 -44.94733047   -0.27   0.17   11.37   0.17    0.07   0.04   0.74     -32.9     -16.6     -77.4       525
  0.54621667 -45.02833557   -0.50   0.14    5.91   0.22    0.12   0.05   3.51     -29.2      -4.1     -69.8       526
  0.31784430 -45.34091568   -1.15   0.56   14.05   0.08    0.24   0.03   0.15     -41.4      -8.3    -165.5       527
  1.15497315 -44.90383148   -0.47   0.07    4.06   0.25    0.16   0.04   0.25     -27.9     -14.4     -70.7       528
  0.30090293 -45.31290817   -0.26   0.12    8.95   0.12    0.08   0.01   0.68     -33.2      -9.3    -223.9       529
  0.31924963 -45.50895691   -0.50   0.05    3.86   0.22    0.09   0.03   0.41     -28.5     -18.1    -113.8       530
  0.66946614 -45.02012634   -0.24   0.09    4.01   0.25    0.21   0.03   0.26     -27.8      -8.8    -150.9       531
  1.29860163 -44.96084595   -0.22   0.10    5.28   0.17    0.20   0.03   0.48     -38.4      -9.4    -102.2       532
  0.53643918 -45.48995972   -0.59   0.53   13.85   0.12    0.19   0.05   3.82     -35.8      -8.3     -60.2       533
  0.44226673 -45.35768890   -0.49   0.25    9.48   0.22    0.12   0.02   0.62     -25.1      -4.5    -197.9       534
  0.83938432 -44.97058868   -0.47   0.37   13.66   0.15    0.19   0.05   0.25     -31.8      -9.7     -83.1       535
  0.93646586 -45.28909302   -0.42   0.14    5.28   0.25    0.15   0.05   1.25     -24.6      -3.5     -38.6       536
  0.81669271 -44.78505325   -0.22   0.13   10.91   0.13    0.12   0.02   4.12     -35.4     -17.0    -189.0       537
  1.12523997 -45.08582306   -0.51   0.17    8.72   0.14    0.10   0.02   0.78     -30.6      -1.8    -145.0       538
  0.91006464 -45.17480087   -0.33   0.13    4.39   0.32    0.18   0.06   0.30     -25.2      -5.1     -38.0       539
  0.74803978 -44.79787445   -0.26   0.17    9.06   0.16    0.12   0.02   0.02     -33.3     -14.6    -192.6       540
  1.07499886 -45.15066910   -0.48   0.13    4.50   0.31    0.12   0.06   0.62     -19.4      -9.1     -18.8       541
  0.21888852 -45.51776123   -0.25   0.15   11.14   0.15    0.12   0.02   3.45     -33.2     -15.4    -169.6       542
  1.30197871 -44.75557327   -0.28   0.18   11.74   0.17    0.18   0.03   1.42     -31.9     -14.7    -118.7       543
  1.11303747 -45.05400848   -0.57   0.50   13.79   0.10    0.20   0.05   0.72     -38.1      -8.6     -88.6       544
  1.34102738 -44.82580948   -0.30   0.21    9.54   0.20    0.12   0.03   1.70     -31.5     -14.0     -96.5       545
  0.55111814 -45.39474106   -0.40   0.06    3.27   0.13    0.07   0.04  14.31     -34.7     -15.9     -59.6       546
  0.17828964 -45.46179199   -0.33   0.20   11.37   0.19    0.10   0.03   1.56     -29.5     -11.3    -130.6       547
  0.61657447 -45.44165802   -0.25   0.17   13.02   0.12    0.09   0.05   1.22     -36.7     -17.6     -27.7       548
  1.01739395 -45.13628006   -0.22   0.15   12.49   0.15    0.06   0.05   2.33     -33.4     -20.4     -61.8       549
  1.38155198 -44.57411194   -0.55   0.38    8.83   0.30    0.14   0.02   3.06     -22.8      -2.3    -150.2       550
  0.46460488 -45.03397751   -0.20   0.11   11.98   0.12    0.07   0.03   3.58     -35.7     -19.6    -119.6       551
  1.28184652 -44.35313797   -0.24   0.16   13.14   0.12    0.15   0.06   4.37     -36.5     -19.0     -19.3       552
  0.08983293 -45.45446014   -0.36   0.24    9.75   0.22    0.13   0.02   0.22     -28.8      -9.7    -195.1       553
  1.08305800 -44.88277435   -0.49   0.07    7.17   0.12    0.11   0.07   5.47     -35.1     -12.1     -65.0       554
  0.42528287 -44.78466034   -0.32   0.18   12.28   0.18    0.13   0.06   0.07     -31.1     -14.4     -24.4       555
  1.33798671 -44.75565720   -0.31   0.14    5.21   0.25    0.16   0.05   1.18     -31.0      -4.5     -49.0       556
  0.07148466 -45.58547211   -0.34   0.12    5.15   0.22    0.20   0.04   4.27     -26.6     -12.1     -81.6       557
  0.59958750 -44.78290939   -0.19   0.12   10.38   0.12    0.10   0.02   1.71     -35.6     -16.0    -205.2       558
  0.77783763 -45.00015640   -0.23   0.16   12.74   0.14    0.18   0.05   0.37     -35.1     -19.5     -49.9       559
  0.20777173 -45.66212463   -0.37   0.32   13.56   0.11    0.19   0.04   1.07     -37.1     -13.1     -86.7       560
  0.83918869 -44.72827530   -0.35   0.22   10.97   0.21    0.10   0.02   4.63     -28.5      -9.9    -156.5       561
  1.41360688 -44.89407349   -0.29   0.19   11.02   0.19    0.14   0.03   2.63     -32.2     -14.5    -114.9       562
  0.33697921 -45.16181183   -0.69   0.49   13.86   0.14    0.20   0.05  15.19     -32.6      -5.4     -64.9       563
  0.79529178 -44.61664581   -0.36   0.08    7.14   0.10    0.10   0.06   0.14     -38.1     -11.4     -42.9       564
  0.31714401 -45.58248520   -0.46   0.09    7.05   0.14    0.11   0.07   1.93     -30.2     -11.3     -66.8       565
  0.48112962 -44.87331390   -0.35   0.18    7.96   0.13    0.11   0.04   2.42     -31.4      -3.5     -79.6       566
  1.35025954 -45.05502319   -0.32   0.23   11.29   0.22    0.17   0.06   0.16     -28.8     -14.5     -39.6       567
  1.46393216 -44.58269501   -0.28   0.16    8.61   0.16    0.11   0.02   2.19     -29.6      -9.4    -151.1       568
  0.61121738 -44.91608429   -0.29   0.20   10.03   0.20    0.18   0.03   2.36     -32.1     -14.6    -116.6       569
  1.44801259 -44.94351196   -0.22   0.13   10.62   0.13    0.09   0.01   4.06     -34.1     -13.6    -204.3       570
  0.30311814 -45.06263733   -0.21   0.14   13.03   0.10    0.22   0.04   2.07     -39.4     -21.1    -122.9       571
  0.03208621 -45.60674667   -0.49   0.12    4.88   0.29    0.15   0.06   4.00     -21.9      -5.3     -25.0       572
  0.76840115 -45.05780029   -0.67   0.48   14.00   0.11    0.19   0.05   2.83     -38.8      -8.0     -51.0       573
  0.41105291 -45.21827698   -0.50   0.19   13.89   0.04    0.09   0.02   1.45     -50.3     -11.1    -135.1       574
  0.74927974 -45.17332077   -0.24   0.16   13.33   0.11    0.07   0.05   0.92     -38.6     -19.1     -51.6       575
  0.46561739 -44.76949310   -0.29   0.18   10.00   0.18    0.14   0.02   0.31     -31.6     -13.0    -200.9       576
  0.93276876 -45.14997482   -0.29   0.20    8.31   0.19    0.16   0.03   0.90     -30.1     -12.6    -127.0       577
  0.48761177 -45.09153748   -0.31   0.13    9.31   0.13    0.08   0.01   2.07     -31.1      -7.2    -202.2       578
  0.34408602 -45.18990326   -0.30   0.19   11.11   0.18    0.12   0.02   0.03     -30.8     -12.4    -168.3       579
  1.46469033 -44.71409988   -0.19   0.10   12.58   0.08    0.04   0.02   2.91     -38.5     -18.4    -155.0       580
  1.10867965 -44.81467056   -0.19   0.10    7.98   0.08    0.06   0.02   7.56     -42.4     -11.1    -195.6       581
  0.17716628 -45.17942047   -0.33   0.22   11.19   0.20    0.13   0.02   3.21     -30.0     -11.9    -143.0       582
  0.02865303 -45.41524124   -0.68   0.56   13.90   0.10    0.23   0.04   1.33     -39.1      -7.1    -128.6       583
  0.67726219 -45.15392685   -0.20   0.12   11.43   0.12    0.09   0.02   2.16     -35.3     -18.3    -131.7       584
  0.87228960 -45.26301193   -0.25   0.15   10.15   0.15    0.15   0.01   0.33     -32.5     -12.9    -226.9       585
  0.44432759 -45.21197128   -0.48   0.06    3.53   0.18    0.17   0.04   3.22     -31.3     -14.8     -64.4       586
  0.84845984 -45.34010696   -0.24   0.17   12.33   0.19    0.17   0.07   0.08     -28.8     -19.1     -12.4       587
  1.09999824 -45.08909607   -0.27   0.07    3.24   0.17    0.19   0.05   0.96     -30.4     -14.1     -64.6       588
  0.09671994 -45.34201431   -0.43   0.22    9.14   0.21    0.14   0.02   1.06     -25.8      -5.8    -182.7       589
  0.18721835 -45.19951248   -0.33   0.25   11.87   0.30    0.12   0.08   1.70     -20.9     -14.5      -2.1       590
  0.16573593 -45.26819611   -0.82   0.58   13.93   0.09    0.22   0.04   0.41     -41.1      -6.6     -98.7       591
  0.53655589 -44.72793198   -0.32   0.21    9.82   0.20    0.10   0.02   1.25     -30.9     -12.2    -169.8       592
  1.21373725 -44.85977936   -0.85   0.59   13.94   0.09    0.23   0.04   0.23     -40.4      -6.6    -115.8       593
  0.39178255 -45.50645828   -0.39   0.30   13.50   0.16    0.18   0.06   3.92     -29.9     -12.5     -43.2       594
  0.12486695 -45.17890930   -0.36   0.20   13.67   0.06    0.21   0.03   2.67     -47.6     -13.0    -136.3       595
  0.57093549 -45.43562698   -0.30   0.15    9.70   0.15    0.13   0.01   0.38     -30.1      -9.4    -215.7       596
  1.26980376 -45.06003952   -0.25   0.15   11.98   0.17    0.12   0.05   0.23     -33.3     -17.8     -45.1       597
  0.58287144 -45.09413910   -0.27   0.18   11.99   0.20    0.09   0.07   1.19     -28.2     -17.3     -15.8       598
  0.37394768 -45.51139832   -0.39   0.06    3.41   0.17    0.09   0.04   2.24     -32.3     -15.3     -60.0       599
  1.08650219 -44.86509705   -0.30   0.17   10.90   0.17    0.11   0.02   4.67     -30.6     -11.5    -187.2       600
  1.22626948 -45.00874710   -0.25   0.12    5.84   0.19    0.16   0.04   0.52     -38.4      -7.3     -79.9       601
  0.07892504 -45.03569794   -0.45   0.40   13.70   0.10    0.20   0.05   0.43     -38.6     -10.7     -83.6       602
  1.11101651 -44.86456299   -0.83   0.50   13.95   0.11    0.23   0.04   0.22     -36.6      -3.3    -132.9       603
  0.99801522 -44.62532043   -0.31   0.08    4.07   0.23    0.17   0.04   1.48     -28.5     -12.3     -87.9       604
  0.67821997 -44.72160339   -0.32   0.24   11.80   0.22    0.20   0.06   0.26     -28.3     -14.3     -37.3       605
  0.32318777 -45.21077347   -0.48   0.06    3.55   0.18    0.17   0.04   0.59     -26.4     -16.8     -75.1       606
  0.49304709 -45.13225555   -0.36   0.27   11.34   0.27    0.13   0.08   0.26     -22.5     -13.0      -0.1       607
  0.97527206 -44.58920288   -0.35   0.13    6.04   0.19    0.13   0.05   0.66     -36.4      -5.2     -66.4       608
  1.20528638 -44.87757492   -0.24   0.16   13.42   0.08    0.17   0.04   2.07     -42.2     -18.2     -87.5       609
  0.09210642 -45.28205490   -0.47   0.37   13.82   0.11    0.18   0.06   1.52     -38.1     -10.5     -37.5       610
  0.03517286 -45.36359024   -0.25   0.17   10.75   0.16    0.11   0.03   1.33     -34.6     -17.3    -112.4       611
  0.71120036 -45.34743881   -0.46   0.24    8.12   0.20    0.18   0.04   0.09     -25.8      -4.6     -86.4       612
  0.37940645 -45.12063599   -0.33   0.24   11.13   0.25    0.11   0.07   0.34     -24.5     -14.2      -1.2       613
  0.42903662 -45.22335052   -0.30   0.16   11.01   0.16    0.14   0.02   0.31     -29.5      -8.9    -197.5       614
  0.98661560 -45.22576523   -0.26   0.16   11.66   0.16    0.15   0.04   0.15     -33.9     -16.9     -83.7       615
  0.52701724 -45.13194656   -0.25   0.17   12.99   0.15    0.15   0.07   0.07     -31.7     -19.1      -3.7       616
  0.41238162 -44.78822708   -0.29   0.20   11.41   0.24    0.11   0.08   1.25     -24.5     -16.5      -4.7       617
  0.55288011 -45.49447632   -0.38   0.14    5.73   0.22    0.16   0.05   6.29     -33.2      -4.4     -70.2       618
  0.70768040 -45.32498550   -0.50   0.34   10.30   0.28    0.12   0.02   3.25     -25.0      -5.0    -156.7       619
  0.76772183 -44.76950455   -0.26   0.18   12.59   0.18    0.17   0.08   0.04     -30.2     -17.8      -8.7       620
  0.16363901 -45.06855392   -0.21   0.11   11.41   0.12    0.11   0.02   1.23     -35.6     -16.6    -191.9       621
  0.18949163 -45.14444733   -0.20   0.13   13.11   0.10    0.18   0.04   2.26     -40.0     -22.1     -67.0       622
  0.82682997 -45.11081696   -0.37   0.31   13.62   0.11    0.22   0.04   1.57     -37.0     -13.2    -113.3       623
  0.67526323 -45.05654907   -0.32   0.20   13.69   0.07    0.23   0.04   0.26     -44.0     -14.6    -120.8       624
  0.39273289 -45.00636292   -0.19   0.12   10.47   0.13    0.11   0.03   7.75     -36.7     -21.1    -136.2       625
  0.36491790 -44.96933365   -0.36   0.06    3.94   0.20    0.11   0.03   2.87     -30.4     -15.4    -129.8       626
  0.52542889 -44.84513092   -0.30   0.08    6.75   0.12    0.19   0.05   0.40     -32.8     -13.1    -117.3       627
  1.36172533 -45.05566406   -0.28   0.12    5.35   0.21    0.18   0.04   0.50     -36.4      -7.4     -73.9       628
  1.09674501 -44.82716370   -0.32   0.23   13.42   0.12    0.20   0.06   0.16     -36.7     -14.9     -57.7       629
  0.66026092 -44.82101440   -0.25   0.17   12.26   0.18    0.11   0.06   2.44     -30.4     -18.9      -6.0       630
  1.16897452 -44.69909668   -0.26   0.14    9.75   0.13    0.12   0.02   0.86     -31.5      -9.2    -206.5       631
  0.92205471 -45.12339783   -0.20   0.12   12.42   0.12    0.14   0.04   1.46     -36.6     -21.7     -77.3       632
  1.10214055 -44.98599625   -0.42   0.32   10.98   0.26    0.15   0.04   0.90     -27.8      -9.5     -60.9       633
  0.63202274 -45.24604797   -0.35   0.24   10.45   0.22    0.15   0.04   1.08     -29.7     -12.1     -85.0       634
  1.44775140 -44.83620453   -0.33   0.25   11.66   0.26    0.11   0.07   1.18     -23.2     -14.4      -0.0       635
  0.55030352 -45.03312683   -0.42   0.33   10.26   0.28    0.15   0.07   0.13     -24.3     -10.3      -8.4       636
  1.23006415 -44.65143585   -0.65   0.55   13.87   0.10    0.24   0.04   0.92     -38.1      -7.4    -142.2       637
  0.56506300 -45.19327164   -0.49   0.44   13.72   0.11    0.18   0.06   0.17     -36.7      -9.8     -35.8       638
  1.21903217 -44.97255707   -0.24   0.08    6.92   0.11    0.15   0.06   0.71     -34.2     -13.2     -53.6       639
  0.41549751 -44.91178894   -0.18   0.10    6.03   0.15    0.21   0.04   1.63     -39.1     -12.3    -144.3       640
  0.63452625 -45.24057007   -0.23   0.14   11.49   0.15    0.14   0.03   0.67     -34.9     -18.5    -113.1       641
  1.34667361 -44.95540619   -0.28   0.20   11.73   0.26    0.12   0.07   2.22     -23.4     -17.0      -0.0       642
  0.64211601 -45.32741547   -0.30   0.18   11.16   0.17    0.09   0.02   0.13     -30.0     -11.7    -144.8       643
  0.68780345 -45.26047897   -0.17   0.10   12.08   0.14    0.08   0.06   5.06     -34.3     -26.7     -45.1       644
  1.45193696 -44.85266495   -0.32   0.18   10.12   0.18    0.12   0.01   0.22     -28.4      -7.7    -200.5       645
  1.04751205 -44.82968140   -0.25   0.16   11.51   0.16    0.14   0.03   1.37     -33.9     -17.0    -107.1       646
  1.09441626 -45.01227188   -0.26   0.13    7.61   0.09    0.11   0.05   0.10     -36.9      -6.7     -74.2       647
  0.32533666 -45.24900818   -0.67   0.56   13.89   0.10    0.25   0.04   0.27     -39.1      -7.2    -125.1       648
  0.38193378 -45.21765900   -0.28   0.19   12.01   0.19    0.06   0.05   2.43     -30.0     -16.5     -52.7       649
  0.11129700 -45.08554077   -0.39   0.06    3.83   0.23    0.14   0.03   0.40     -28.0     -16.3    -123.1       650
  0.56161988 -45.31155777   -0.82   0.61   13.95   0.10    0.19   0.04   4.26     -37.9      -6.6     -85.5       651
  1.24953747 -44.97985840   -0.42   0.31   10.06   0.25    0.15   0.02   0.37     -26.4      -7.3    -154.4       652
  0.84625965 -44.95843887   -0.24   0.17   12.35   0.18    0.10   0.07   0.38     -29.1     -19.2      -5.7       653
  0.42316800 -45.38835907   -0.29   0.18   13.12   0.10    0.15   0.03   0.65     -39.4     -14.7     -88.4       654
  0.27829397 -44.88687515   -0.31   0.19   12.93   0.13    0.20   0.04   1.43     -36.4     -14.4     -73.6       655
  1.39072883 -44.55923462   -0.22   0.12    8.42   0.11    0.09   0.02   0.49     -34.5     -10.7    -192.1       656
  0.01970971 -45.18016815   -1.23   0.55   14.09   0.09    0.23   0.02   4.43     -40.5      -9.4    -218.8       657
  0.13961613 -45.58993912   -0.16   0.08    7.30   0.08    0.12   0.05   3.18     -38.4     -15.1     -69.8       658
  0.38144720 -44.84410095   -0.25   0.14    8.16   0.13    0.14   0.03   0.45     -31.6     -11.3    -142.9       659
  0.86683184 -45.16205978   -0.40   0.07    3.07   0.16    0.11   0.06   1.15     -32.9     -11.8     -32.1       660
  0.92879301 -44.52651596   -0.28   0.05    3.36   0.18    0.09   0.05   5.18     -31.8     -16.1     -48.8       661
  0.45381430 -44.81712341   -0.41   0.21   10.13   0.19    0.11   0.02   0.39     -26.1      -5.0    -174.4       662
  0.14216220 -45.46667480   -0.23   0.15   13.30   0.09    0.20   0.04   2.02     -41.7     -19.5    -101.3       663
  1.26832676 -44.48693085   -0.24   0.15   10.83   0.14    0.14   0.02   0.52     -33.1     -14.8    -192.7       664
  0.90741712 -44.84704590   -0.29   0.19   11.61   0.18    0.09   0.04   0.71     -32.1     -15.5     -43.8       665
  0.67014319 -44.78018570   -0.62   0.48   13.75   0.18    0.20   0.05   0.87     -29.1      -6.2     -85.9       666
  0.20814075 -45.12466049   -0.54   0.49   13.81   0.11    0.21   0.04   0.72     -37.7      -9.1    -114.9       667
  0.02825782 -45.56440735   -1.20   0.54   14.07   0.08    0.22   0.02   0.57     -41.8      -8.9    -195.7       668
  1.26269329 -44.33407974   -0.23   0.14   10.93   0.14    0.17   0.02   0.99     -35.5     -17.1    -207.4       669
  0.82482654 -44.88514328   -0.23   0.14   10.77   0.15    0.13   0.02   3.21     -32.9     -15.8    -157.4       670
  0.64671510 -45.38870239   -0.20   0.10    6.93   0.13    0.08   0.06   5.93     -31.8     -17.8     -71.4       671
  0.42847234 -45.20679474   -0.35   0.26   13.58   0.12    0.11   0.07   1.30     -36.5     -13.4      -3.4       672
  0.90515447 -45.07855988   -0.88   0.50   13.97   0.10    0.22   0.03   0.41     -37.9      -3.2    -130.4       673
  1.43703830 -44.48713303   -0.23   0.10    5.74   0.17    0.20   0.04   0.41     -37.0      -9.7    -112.0       674
  1.25210786 -44.41417694   -0.25   0.16   11.95   0.18    0.17   0.06   0.12     -32.0     -18.0     -31.6       675
  0.10885194 -44.95458603   -0.32   0.24   12.09   0.30    0.14   0.08   0.31     -20.8     -15.1      -0.9       676
  0.65483338 -44.86252594   -0.35   0.26   10.41   0.24    0.14   0.07   0.19     -26.0     -13.2      -3.6       677
  1.30897141 -44.99270248   -0.21   0.09    4.55   0.20    0.18   0.04   2.40     -26.6     -16.9     -64.6       678
  1.48293507 -44.87931442   -0.45   0.16   14.31   0.05    0.22   0.01   9.64     -49.2     -16.1    -224.0       679
  0.82035601 -44.68264771   -0.25   0.13    7.70   0.09    0.15   0.04   0.54     -38.1      -6.1    -112.7       680
  0.77429408 -45.32019806   -0.32   0.20   11.25   0.19    0.12   0.02   0.22     -29.7     -11.6    -139.3       681
  0.29373324 -44.93339539   -0.98   0.48   14.02   0.09    0.25   0.03   2.27     -38.6      -3.4    -185.0       682
  0.72970247 -44.65929413   -1.26   0.50   14.13   0.10    0.24   0.01   1.66     -40.1      -9.8    -272.9       683
  0.46039379 -44.94587326   -0.41   0.33    9.64   0.28    0.09   0.06   4.73     -26.4     -10.0     -31.1       684
  1.12694907 -44.74251175   -0.48   0.16    8.50   0.12    0.13   0.02   4.52     -37.7      -2.6    -131.6       685
  0.52373683 -44.77006531   -0.20   0.12   11.14   0.13    0.10   0.02   3.27     -35.0     -18.6    -143.7       686
  1.44897091 -44.31045532   -0.48   0.38   13.67   0.15    0.20   0.05   0.28     -31.4      -9.4     -74.9       687
  0.60799527 -45.00633240   -0.14   0.06   11.90   0.07    0.07   0.02   4.07     -40.8     -23.0    -116.6       688
  0.65261722 -45.40071106   -0.20   0.12   10.92   0.13    0.06   0.02   3.78     -37.6     -20.5    -144.9       689
  1.05517375 -44.45685577   -0.21   0.12    9.01   0.12    0.10   0.01   1.09     -34.4     -13.8    -210.5       690
  0.17206280 -45.54140091   -0.28   0.20   13.13   0.13    0.07   0.06   1.81     -35.0     -16.6     -41.0       691
  0.24971588 -45.14179230   -0.36   0.25   11.11   0.24    0.16   0.06   1.11     -28.0     -12.3     -25.4       692
