#NUMBER OF AGES=15
#----------------------------------------------------       
#MIX-LEN  Y      Z          Zeff        [Fe/H] [a/Fe]       
# 1.9380  0.3210 4.6890E-02 4.6890E-02   0.50   0.00        
#----------------------------------------------------       
#**PHOTOMETRIC SYSTEM**: SDSS (AB)                          
#----------------------------------------------------       
#AGE= 0.010 BINS=139 Power-law IMF: x=-2.350
# N  sdss_r       Log10(N)       Log10(dN)
  9  0.167         0.7515        -0.2705
 10  0.267         0.7908        -0.2724
 11  0.367         0.8268        -0.2728
 12  0.467         0.8599        -0.2737
 13  0.567         0.8903        -0.2799
 14  0.667         1.1127         0.7157
 15  0.767         1.2369         0.6324
 16  0.867         1.3385         0.6579
 17  0.967         1.5239         1.0647
 18  1.067         1.8229         1.5198
 19  1.167         2.0896         1.7512
 20  1.267         2.2700         1.8014
 21  1.367         2.3991         1.8093
 22  1.467         2.4996         1.8149
 23  1.567         2.5794         1.8042
 24  1.667         2.6487         1.8178
 25  1.767         2.7115         1.8405
 26  1.867         2.7694         1.8652
 27  1.967         2.8226         1.8849
 28  2.067         2.8714         1.8980
 29  2.167         2.9168         1.9130
 30  2.267         2.9593         1.9292
 31  2.367         2.9996         1.9470
 32  2.467         3.0376         1.9609
 33  2.567         3.0734         1.9716
 34  2.667         3.1061         1.9662
 35  2.767         3.1372         1.9766
 36  2.867         3.1694         2.0235
 37  2.967         3.2008         2.0450
 38  3.067         3.2297         2.0378
 39  3.167         3.2569         2.0405
 40  3.267         3.2833         2.0533
 41  3.367         3.3085         2.0609
 42  3.467         3.3326         2.0636
 43  3.567         3.3557         2.0701
 44  3.667         3.3780         2.0776
 45  3.767         3.3996         2.0864
 46  3.867         3.4206         2.0949
 47  3.967         3.4411         2.1039
 48  4.067         3.4611         2.1153
 49  4.167         3.4807         2.1257
 50  4.267         3.4998         2.1331
 51  4.367         3.5183         2.1375
 52  4.467         3.5360         2.1387
 53  4.567         3.5532         2.1412
 54  4.667         3.5699         2.1464
 55  4.767         3.5863         2.1553
 56  4.867         3.6028         2.1734
 57  4.967         3.6193         2.1915
 58  5.067         3.6351         2.1886
 59  5.167         3.6504         2.1901
 60  5.267         3.6655         2.1982
 61  5.367         3.6803         2.2045
 62  5.467         3.6948         2.2114
 63  5.567         3.7090         2.2172
 64  5.667         3.7229         2.2214
 65  5.767         3.7365         2.2263
 66  5.867         3.7499         2.2302
 67  5.967         3.7629         2.2330
 68  6.067         3.7755         2.2345
 69  6.167         3.7879         2.2364
 70  6.267         3.7996         2.2238
 71  6.367         3.8104         2.2009
 72  6.467         3.8206         2.1842
 73  6.567         3.8303         2.1747
 74  6.667         3.8397         2.1724
 75  6.767         3.8491         2.1772
 76  6.867         3.8585         2.1886
 77  6.967         3.8679         2.2023
 78  7.067         3.8771         2.1986
 79  7.167         3.8860         2.1930
 80  7.267         3.8947         2.1890
 81  7.367         3.9031         2.1866
 82  7.467         3.9114         2.1863
 83  7.567         3.9195         2.1882
 84  7.667         3.9276         2.1925
 85  7.767         3.9356         2.1995
 86  7.867         3.9437         2.2092
 87  7.967         3.9518         2.2219
 88  8.067         3.9602         2.2375
 89  8.167         3.9687         2.2562
 90  8.267         3.9774         2.2779
 91  8.367         3.9865         2.3026
 92  8.467         3.9960         2.3302
 93  8.567         4.0059         2.3606
 94  8.667         4.0164         2.3937
 95  8.767         4.0273         2.4219
 96  8.867         4.0388         2.4544
 97  8.967         4.0511         2.4963
 98  9.067         4.0631         2.5011
 99  9.167         4.0750         2.5042
100  9.267         4.0862         2.4935
101  9.367         4.0976         2.5124
102  9.467         4.1100         2.5575
103  9.567         4.1231         2.5972
104  9.667         4.1372         2.6418
105  9.767         4.1519         2.6746
106  9.867         4.1673         2.7089
107  9.967         4.1834         2.7438
108 10.067         4.2002         2.7787
109 10.167         4.2175         2.8109
110 10.267         4.2355         2.8433
111 10.367         4.2541         2.8762
112 10.467         4.2733         2.9094
113 10.567         4.2929         2.9379
114 10.667         4.3134         2.9776
115 10.767         4.3357         3.0344
116 10.867         4.3601         3.0970
117 10.967         4.3853         3.1365
118 11.067         4.4099         3.1519
119 11.167         4.4335         3.1567
120 11.267         4.4569         3.1763
121 11.367         4.4810         3.2140
122 11.467         4.5063         3.2579
123 11.567         4.5332         3.3124
124 11.667         4.5613         3.3580
125 11.767         4.5897         3.3912
126 11.867         4.6175         3.4107
127 11.967         4.6448         3.4285
128 12.067         4.6718         3.4527
129 12.167         4.6987         3.4777
130 12.267         4.7256         3.5037
131 12.367         4.7525         3.5307
132 12.467         4.7794         3.5588
133 12.567         4.8065         3.5880
134 12.667         4.8338         3.6184
135 12.767         4.8613         3.6494
136 12.867         4.8890         3.6797
137 12.967         4.9168         3.7090
138 13.067         4.9446         3.7372
139 13.167         4.9724         3.7642
140 13.267         5.0000         3.7900


#AGE= 2.000 BINS=143 Power-law IMF: x=-2.350
# N  sdss_r       Log10(N)       Log10(dN)
  1 -0.510         0.2971         0.2971
  2 -0.410         0.5366         0.1638
  3 -0.310         0.6738         0.1065
  4 -0.210         0.7652         0.0439
  5 -0.110         0.8363         0.0148
  6 -0.010         0.8979         0.0198
  7  0.090         0.9533         0.0312
  8  0.190         1.0030         0.0373
  9  0.290         1.1238         0.5089
 10  0.390         1.2112         0.4722
 11  0.490         1.3073         0.6049
 12  0.590         1.3503         0.3245
 13  0.690         1.3697         0.0099
 14  0.790         1.3879         0.0015
 15  0.890         1.4053        -0.0003
 16  0.990         1.4218        -0.0055
 17  1.090         1.4377        -0.0080
 18  1.190         1.4529        -0.0108
 19  1.290         1.4674        -0.0160
 20  1.390         1.4813        -0.0216
 21  1.490         1.4945        -0.0288
 22  1.590         1.5071        -0.0370
 23  1.690         1.5204        -0.0001
 24  1.790         1.6476         1.0524
 25  1.890         1.7008         0.7625
 26  1.990         1.7538         0.8143
 27  2.090         1.8525         1.1603
 28  2.190         2.0515         1.6169
 29  2.290         2.2660         1.8569
 30  2.390         2.4177         1.8872
 31  2.490         2.5233         1.8572
 32  2.590         2.6060         1.8451
 33  2.690         2.6791         1.8694
 34  2.790         2.7456         1.8981
 35  2.890         2.8026         1.8920
 36  2.990         2.8528         1.8908
 37  3.090         2.8995         1.9083
 38  3.190         2.9439         1.9311
 39  3.290         2.9835         1.9239
 40  3.390         3.0202         1.9294
 41  3.490         3.0548         1.9391
 42  3.590         3.0874         1.9459
 43  3.690         3.1181         1.9518
 44  3.790         3.1472         1.9587
 45  3.890         3.1749         1.9666
 46  3.990         3.2015         1.9756
 47  4.090         3.2272         1.9858
 48  4.190         3.2520         1.9976
 49  4.290         3.2761         2.0078
 50  4.390         3.2991         2.0123
 51  4.490         3.3210         2.0108
 52  4.590         3.3418         2.0118
 53  4.690         3.3620         2.0213
 54  4.790         3.3822         2.0395
 55  4.890         3.4022         2.0538
 56  4.990         3.4210         2.0485
 57  5.090         3.4392         2.0528
 58  5.190         3.4571         2.0631
 59  5.290         3.4746         2.0706
 60  5.390         3.4917         2.0778
 61  5.490         3.5083         2.0842
 62  5.590         3.5246         2.0890
